Model,Share,Battery_Size
BMW 225xe,3,7.6
BMW 225xe ACTIVE TOURER,29,10
BMW 225xe iPerformance,22,10
BMW 330e,4,12
AUDI A3 E-TRON,4,8.8
AUDI A3 SPORTBACK E-TRON,37,8.8
OPEL AMPERA ELÃˆCTRIC,39,60
SMART BRAUS ELECTRIC,5,16.7
BMW C-EVOLUTION,10,8.1
CITROEN C-ZERO,37,14.5
CITROEN C-ZERO SEDUCTION,117,16
MINI COUNTRYMAN,13,7.6
ZERO MOTORCYCLES DS ZF9,1,13
BMW E-EVOLUTION,4,8.1
VOLKWAGEN E-GOLF,736,55.7
NISSAN E-NV200,2536,22
VOLKWAGEN E-UP!,14,25.5
BYD E6,4,82
SMART ELECTRIC DRIVE,92,16.7
RENAULT FLUENCE,12,22
RENAULT FLUENCE Z.E.,10,22
SMART FORFOUR,19,16.7
SMART FORTWO ELECTRIC,64,16.7
MERCEDES-BENZ GLC 350 E 4MATIC,5,13.5
VOLKWAGEN GOLF,103,55.7
VOLKWAGEN GOLF GTE,25,55.7
MITSUBISHI I MIEV,1,16
MITSUBISHI I-MIEV,8,16
JAGUAR I-PACE,69,90
PEUGEOT ION,205,16
HYUNDAI IONIQ,1221,28
RENAULT KANGOO,14,31
RENAULT KANGOO EXPRESS ZE,61,31
RENAULT KANGOO ZE,36,31
HYUNDAI KONA,21,64
NISSAN LEAF,5428,51
TESLA MODEL 3,493,75
TESLA MODEL X,112,100
CITROEN N. BERLINGO,236,22.5
KIA NIRO PHEV,24,8.9
KIA OPTIMA,139,10
MITSUBISHI OUTLANDER,6,13.8
MITSUBISHI OUTLANDER PHEV,3401,13.8
PEUGEOT PARTNER FG L1,7,20.5
TOYOTA PRIUS PLUG-IN,1,4.4
TESLA S,1446,100
TESLA S 4X4,171,100
TESLA S 90D,55,90
ZERO MOTORCYCLES S ZF9,1,15.3
KIA SOUL EV,214,30
LEMEV STREAM,1,4
RENAULT TWIZY,54,6.1
RENAULT TWIZY 45,59,6.1
 VOLTA BCN,13,3.1
VECTRIX VX1,129,8
 XC90 T8 TWIN ENGINE,24,11.6
NISSAN ZE0 /A/A02,7,24
RENAULT ZOE,1333,47
RENAULT ZOE 240,329,22
BMW i3,1215,42.2
BMW i3 REX,725,42.2
